lat,lon
47.708869,-121.892387
47.687444,-122.167809
47.606909,-122.112056
47.5655,-122.399789
47.4817299,-122.2309734
47.551679,-122.262951
47.465314,-122.338103
47.700565,-122.174082
47.326927,-122.093205
47.482404,-121.999561
47.622348,-122.303931
47.662305,-122.338874
47.532114,-122.284931
47.71658,-122.236135
47.709618,-122.030149
47.6745426,-122.3120081
47.75634,-122.337852
47.530552,-122.201991
47.7149185,-122.0647294
47.6231916,-122.2101591
47.678095,-122.373762
47.586625,-122.388711
47.631627,-122.303172
47.309734,-122.381077
47.5656661,-122.0919505
47.5160062,-122.2029994
47.542061,-122.387969
47.587385,-122.310882
47.6390444,-121.9534177
47.4278,-122.160648
47.62702,-122.303914
47.635492,-122.402111
47.480133,-122.063547
47.367443,-122.182143
47.481177,-122.097081
47.5500175,-122.3787359
47.277672,-122.252174
47.7389949,-122.2891084
47.74765,-122.085917
47.330264,-122.268904
47.568919,-122.284289
47.663299,-122.324336
47.539596,-122.053907
47.597174,-122.291809
47.387683,-122.233784
47.314592,-122.323274
47.360525,-122.0746461
47.492062,-122.225057
47.768253,-122.252142
47.6388339,-122.3968242
47.757541,-122.35204
47.373916,-122.041653
47.6497596,-122.3958794
47.483497,-122.332128
47.711117,-122.331121
47.69906,-122.206366
47.6979019,-122.2049959
47.653448,-122.355863
47.3158468,-122.2719468
47.529913,-122.274016
47.7175354,-122.2842956
47.6619608,-122.3520555
47.645386,-122.372894
47.733723,-121.965075
47.536496,-122.216846
47.2996225,-122.3609833
47.689889,-122.321078
47.5927041,-122.0041681
47.556297,-122.218923
47.651013,-122.341023
47.279608,-122.247086
47.543905,-121.995512
47.707586,-121.359022
47.72484,-122.178051
47.5267358,-122.3600837
47.625399,-122.291938
47.7195911,-122.0221017
47.383049,-122.287926
47.353019,-122.14297
47.460229,-121.973625
47.58411,-122.382667
47.349081,-122.177208
47.3500628,-122.1400985
47.444464,-122.35078
47.580648,-122.291192
47.669422,-122.049673
47.418221,-122.182045
47.689603,-122.330657
47.490097,-122.303049
47.5839589,-122.1949365
47.376252,-122.158021
47.304953,-122.093842
47.265943,-122.310156
47.7327285,-122.306183
47.3788334,-122.2290414
47.5350648,-122.2789806
47.6182315,-122.2983014
47.598118,-121.975989
47.50349,-122.258036
47.725735,-122.361344
47.6579174,-122.1251094
47.63978,-122.11274
47.626332,-122.31222
47.642383,-122.361319
47.7238086,-122.0758559
47.6198194,-122.2088293
47.531078,-122.203955
47.687131,-122.307096
47.721839,-122.078769
47.5271267,-122.3159289
47.493292,-122.275207
47.684384,-122.111017
47.64209,-122.349947
47.695212,-122.199023
47.584779,-122.390881
47.306041,-122.348825
47.449026,-122.155237
47.430709,-122.334038
47.4636617,-122.3619819
47.52638,-122.226869
47.6960849,-122.340861
47.515122,-121.852492
47.697862,-122.126804
47.289676,-122.250609
47.663638,-122.325817
47.481505,-122.152148
47.689334,-122.347934
47.450158,-122.3788365
47.655757,-122.348193
47.6318531,-122.3621951
47.5841541,-122.3138932
47.773452,-122.236994
47.680086,-122.347949
47.6381659,-122.3746451
47.728532,-122.077021
47.472414,-122.12137
47.5134365,-122.2002018
47.551526,-122.079912
47.680203,-122.387925
47.317915,-122.174138
47.3755,-122.1359679
47.335596,-122.502315
47.758978,-122.073325
47.636658,-122.058618
47.305189,-122.339644
47.4740943,-122.2022588
47.575201,-121.994768
47.751452,-122.285927
47.4889527,-122.337123
47.583248,-122.307242
47.5927653,-122.0861863
47.5055698,-122.2610697
47.56133,-121.893446
47.5352067,-122.0722996
47.675736,-122.362198
47.53425,-121.867567
47.731268,-122.228845
47.727556,-122.311703
47.442384,-122.125817
47.698083,-122.340031
47.563094,-122.155978
47.270263,-122.289849
